#snapnr	v0_kms_bestfit	a_MND_kpc_bestfit	b_MND_kpc_bestfit	a_NFWH_kpc_bestfit	a_HB_kpc_bestfit	n_MND_bestfit	n_NFWH_bestfit	n_HB_bestfit
6.000000000000000000e+01 2.158335799418298961e+02 3.305415003660527873e-02 1.152553149333614613e+01 2.195167909007967637e+02 3.468623205465609090e+02 3.241606594611953773e-01 4.052538432649819278e-01 2.705854972738226394e-01
6.100000000000000000e+01 3.433069655602564580e+02 1.793007839540734949e+00 1.061889427183594847e+01 8.782799990818961078e+01 3.107647989865433829e+02 1.424410168612135763e-01 1.158883346666104153e-01 7.416706484721760084e-01
6.200000000000000000e+01 1.828590464990811881e+02 2.490671986420238682e-01 1.064687808638541355e+01 7.768754438905958182e+01 1.433983150943343503e+02 6.439356476357025461e-01 2.869402241233482975e-01 6.912412824094915642e-02
6.300000000000000000e+01 2.182677620767630913e+02 2.944502696456652302e-02 1.186901744877323495e+01 2.756091727806777953e+02 3.878516153242424025e+02 4.019199197597231321e-01 5.372562843896878659e-01 6.082379585058905747e-02
6.400000000000000000e+01 3.027140916982148724e+02 6.735819611606075341e-03 1.204684801883578871e+01 1.222450161857472182e+02 6.010385139186803372e+01 2.198077870761749320e-01 6.428201539161688682e-01 1.373720590076561443e-01
6.500000000000000000e+01 2.160675992016219880e+02 1.181099518404096216e-01 9.983325725284110774e+00 1.676811446561563628e+02 1.477072263672017698e+02 5.678152945342201940e-01 2.391107333909229249e-01 1.930739720748568811e-01
6.600000000000000000e+01 2.668659488253358063e+02 4.830112732824716204e-01 8.377447238113177264e+00 2.208224376204797181e+02 1.846081271633033793e+02 4.461319397664374464e-01 1.056621144961390479e-01 4.482059457374234501e-01
6.700000000000000000e+01 3.072398008001347876e+02 6.231609991630193690e-03 8.254028443023322836e+00 1.062399221304939090e+02 3.739713956054112032e+02 3.684022443616726816e-01 3.027517708731051194e-01 3.288459847652221990e-01
6.800000000000000000e+01 3.307611562310715954e+02 1.929504110037782993e-02 7.551701378875968373e+00 2.359939692243882234e+02 2.537829507888327498e+02 3.615344814188629075e-01 3.999035969986782790e-01 2.385619215824588135e-01
6.900000000000000000e+01 3.238374176509353788e+02 3.112605728733797150e-02 6.676468096133682195e+00 4.839450379986528787e+02 2.348831403030461615e+02 4.131142155790050174e-01 4.183151444678582243e-01 1.685706399531368138e-01
7.000000000000000000e+01 3.761848660797753041e+02 8.885509693130813957e+00 3.427724745019844477e-02 2.067391015841495516e+02 2.780781445670610310e+02 2.843988460137962804e-01 2.330943851791744681e-02 6.922917154682862728e-01
7.100000000000000000e+01 2.521414892059029569e+02 9.406619058125500032e+00 6.455386587717271141e-03 1.536477259095996146e+02 3.002900631136707261e+02 6.143562435635456787e-01 2.098445278555608473e-01 1.757992285808934740e-01
7.200000000000000000e+01 2.714941830043269420e+02 9.998407219563375747e+00 2.735527974316198652e-03 1.892629864191341369e+02 2.404807620826259438e+02 5.196721415667017174e-01 1.688827632397932321e-01 3.114450951935050504e-01
7.300000000000000000e+01 2.405535342316248091e+02 1.099175529339126456e+01 3.877065178215843844e-03 4.119319919104769951e+02 2.483599852656314511e+02 7.374152277471354155e-01 1.675181527154849803e-01 9.506661953737960413e-02
7.400000000000000000e+01 3.068685745623587309e+02 7.161890135420748038e+00 3.241063561723933617e-03 1.117609925511337678e+02 2.656514250484278818e+02 6.576614750663245523e-01 1.711376237633191466e-01 1.712009011703563566e-01
7.500000000000000000e+01 3.845686092348619241e+02 7.095191069205185386e+00 2.512079585734738885e-03 3.949810646478069316e+02 8.255029812864350447e+01 4.394512328196566453e-01 2.274298321632673980e-01 3.331189350170760122e-01
7.600000000000000000e+01 2.884605698757770256e+02 6.670033579120143941e+00 4.178080478645540552e-03 1.776951384460541306e+02 2.246478171845604948e+02 8.066762864340574213e-01 1.106727060469830937e-02 1.822564429612443249e-01
7.700000000000000000e+01 3.674793656610437438e+02 7.002908644642957370e+00 4.563304173473170522e-03 2.342135131642051817e+02 1.870246054432959397e+02 4.911376254506465422e-01 1.487879813708805621e-01 3.600743931784728957e-01
